FileName,PortionType,FoodCodeCommon,Main Food description,Portion,Multiplier,Rank,PortionCode,PortionSubCode,Link,GPTFoodDescription,GPTFoodCode,retrieval_score_avg,retrieval_score_top1,retrieval_score_spread,LabelAmount,LabelUnit,PortionShot,GPTPortionDescription,GPTPortionReason,GPTPortionAmount,GPTPortionAmountReason
102507124.png,median,27116200,"Barbecue beef, with sauce",2 cups,2.0,808,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/102507124.png,This appears to be chunks of milk or dark chocolate.,['91705010'],1.0206881329417228,0.8283528685569763,0.0916975651920729,2.0,cup,"1 ounce ,1 slice ,1 cup",1 ounce,,0.75,
011608105.png,median,53104500,"Cheesecake, plain",1/4 piece,1.79,535,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/011608105.png,"This appears to be a very small piece of cheesecake, likely a New York-style variety given the visible crust and dense filling.",['53104500'],1.2187465935945512,1.0428372621536257,0.0643190845237409,0.25,piece,"1 piece ,1 cup",1 piece,,0.25,
080602408.png,largest,71601010,"Potato salad with egg, made with mayonnaise",2 cups,2.0,504,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/080602408.png,"This appears to be a potato salad, likely prepared with a creamy, orange-tinted dressing such as one containing paprika or a spicy mayonnaise base.",['71603030'],0.9725445662935576,0.7515344619750977,0.0867815571618142,2.0,cup,1 cup,1 cup,,0.75,
061908124.png,largest,58160150,Kidney beans and white rice,3 cups,3.0,523,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/061908124.png,"This appears to be a dish of rice and beans, likely a variation of ""red beans and rice.""",['58160150'],1.0008706763386723,0.8435230255126953,0.0742568256071877,3.0,cup,1 cup,1 cup,,1.5,
040209127.png,largest,26155110,"Fish, tuna, canned",2 cups,2.0,483,10170,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/040209127.png,"This appears to be diced, cooked white fish, possibly cod or haddock.",['26158110'],0.9881033798058828,0.7873218059539795,0.08236816757623,2.0,cup,1 cup,1 cup,,0.5,
100209120.png,largest,71900200,"Plantain, cooked with oil",2 cups,2.0,411,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100209120.png,"This appears to be a plate of fried plantains, likely sliced into rounds and pan-fried until golden brown.",['71900200'],1.1151855319738389,0.8472875356674194,0.0937231572922986,2.0,cup,"1 cup ,1 plantain ,1 whole vegetable ,1 order ,1 slice",1 cup,,0.75,
072502210.png,largest,54402080,"Tortilla chips, reduced sodium",3 cups,3.0,718,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/072502210.png,"This appears to be a plate of tortilla chips, likely seasoned with chili or nacho cheese flavoring.",['54401085'],0.9594185709953308,0.8225989937782288,0.0585907133679389,3.0,cup,"1 cup ,1 bag ,1 grab bag ,1 chip",1 cup,,1.5,
110502264.png,largest,42112000,"Pecans, not further specified subcategory assigned",1 cup,1.0,737,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/110502264.png,This appears to be a plate of shelled pecan halves.,['42112100'],1.0752306972940764,0.8457297086715698,0.0933808342472657,1.0,cup,"1 cup ,1 piece",1 cup,,0.5,
031110104.png,median,43104000,Flax seeds,1/2 cup,0.5,468,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/031110104.png,This appears to be flax seeds.,['43104000'],1.2021930699547132,0.7771381139755249,0.0803202902516808,0.5,cup,1 cup,I can't help to analyze this image.,"The provided option ""1 cup"" is not an accurate representation of the portion size shown, and no other options were provided for comparison.",,
040209127.png,median,26158010,"Fish, tilapia, baked or broiled",2 cups,2.0,515,10051,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/040209127.png,"This appears to be diced, cooked white fish, possibly cod or haddock.",['26158110'],0.9839294304450352,0.7871503233909607,0.0755661664580902,2.0,cup,"1 ounce ,1 cup",1 cup,,0.5,
081302301.png,median,41106020,"Kidney beans, from dried, no added fat",1 cup,1.0,875,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/081302301.png,This appears to be a serving of cooked kidney beans.,['41106150'],1.0010243922472,0.7665004730224609,0.0728781904352513,1.0,cup,1 cup,1 cup,,0.5,
091002109.png,largest,41420010,Soybean curd,2 cups,2.0,589,10207,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/091002109.png,"This appears to be Mapo Tofu, a classic Chinese dish consisting of cubed tofu in a spicy, savory sauce, likely garnished with green onions.",['41420010'],1.096631796658039,0.8808347582817078,0.0859634110855775,2.0,cup,"1 cup ,1 piece",1 cup,,1.5,
100507225.png,median,53610100,"Coffee cake, crumb or quick-bread type",1/2 piece,7.5575,892,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100507225.png,This appears to be a small piece of cake or a pastry topped with a dollop of cream or frosting.,['53106500'],1.0699141999085744,0.8668901920318604,0.0712086242690383,0.5,piece,1 piece,1 piece,,0.25,
040810120.png,median,56130000,"Pasta, cooked",1 cup,1.0,493,10043,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/040810120.png,"This appears to be a serving of plain, cooked noodles, likely spaghetti or a similar wheat-based pasta.",['56112000'],1.0626812135179835,0.9079252481460572,0.0705067280603716,1.0,cup,1 cup,1 cup,,1,
081302135.png,largest,71501010,"Potato, mashed, from fresh, made with milk",2 cups,2.0,295,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/081302135.png,This appears to be a serving of mashed potatoes.,['71501010'],1.0729224900404613,0.8915408253669739,0.074895912969387,2.0,cup,1 cup,1 cup,,0.75,
011410101.png,smallest,58145170,Macaroni or noodles with cheese and egg,1/4 cup,0.25,743,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/011410101.png,This appears to be macaroni and cheese.,['58145110'],1.0598928640286127,0.8403274416923523,0.0827191573650576,0.25,cup,1 cup,1 cup,,0.25,
111402110.png,median,42111500,"Peanuts, honey roasted",1/2 cup,0.5,911,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/111402110.png,"This appears to be a serving of roasted, salted peanuts.",['42111100'],0.9904698555668195,0.7187353372573853,0.0910035608928242,0.5,cup,"1 cup ,1 piece",1 cup,,0.25,
081302305.png,largest,41106020,"Kidney beans, from dried, no added fat",2 cups,2.0,875,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/081302305.png,This appears to be a plate of cooked red kidney beans.,['41106080'],1.021252811451753,0.8079569339752197,0.1026941862951381,2.0,cup,1 cup,1 cup,,1.5,
100907120.png,median,11830160,"Chocolate beverage powder, dry mix, not reconstituted",3 tablespoons,3.0,409,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100907120.png,"This appears to be ground cinnamon or a similar finely ground brown spice, measured out in small plastic scoops.",['91104100'],1.3077484945456186,1.081497311592102,0.0826826558807496,3.0,tablespoon,"1 cup ,1 tablespoon ,1 envelope",1 tablespoon,,0.75,
021109406.png,largest,28500000,"Gravy, poultry",1/2 cup,0.5,869,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/021109406.png,The image shows a Pyrex measuring cup containing a liquid that appears to be milk or possibly a light-colored cream.,['11111000'],1.1243284672498703,0.9278720021247864,0.0785896312852595,0.5,cup,"1 cup ,1 tablespoon",1 cup,,0.25,
